district_name_norm,state_ut_norm,specialty_canonical,demand_score,pop_weighted_demand,driving_needs,n_facilities,n_public,supply_capacity,coverage,unmet_demand,k_specialty,served_share,is_thin_specialty,score_basis,priority_tier,specialty_absent,unmet_intensity
Rampur,Uttar Pradesh,nutrition_dietetics,22.0,10.069999999999999,infant_young_child_feeding|adult_overnutrition_obesity|child_malnutrition|maternal_nutrition|micronutrient_fortification,0,0,null,0.0,10.069999999999999,0.1842288935657571,0.08782,true,demand_driven_supply_sparse,critical,true,null
Madhepura,Bihar,obstetrics_gynecology,29.0,11.649000000000001,postnatal_care|adolescent_pregnancy|maternal_nutrition|family_planning_unmet|institutional_delivery|skilled_birth_attendance|antenatal_care|menstrual_hygiene|anaemia,1,0,2.0,0.13593441497124215,10.065500000000002,0.6315124723713293,0.64448,false,demand_supply,critical,false,11.649000000000001
Mokokchung,Nagaland,preventive_medicine,20.0,10.06,wash_sanitation|micronutrient_fortification|birth_registration|cancer_screening|tobacco_use|clean_cooking_air|child_immunization,0,0,null,0.0,10.06,0.17587055926837847,0.32153,false,demand_supply,critical,true,null
Ballia,Uttar Pradesh,nutrition_dietetics,21.0,10.053999999999998,infant_young_child_feeding|adult_overnutrition_obesity|maternal_nutrition|child_malnutrition|micronutrient_fortification,0,0,null,0.0,10.053999999999998,0.1842288935657571,0.08782,true,demand_driven_supply_sparse,critical,true,null
Doda,Jammu & Kashmir,nutrition_dietetics,20.0,10.05,micronutrient_fortification|child_malnutrition|adult_overnutrition_obesity|infant_young_child_feeding,0,0,null,0.0,10.05,0.1842288935657571,0.08782,true,demand_driven_supply_sparse,critical,true,null
Dibang Valley,Arunachal Pradesh,obstetrics_gynecology,17.0,10.044,anaemia|skilled_birth_attendance|antenatal_care|family_planning_unmet|institutional_delivery|postnatal_care,0,0,null,0.0,10.044,0.6315124723713293,0.64448,false,demand_supply,critical,true,null
Saran,Bihar,nutrition_dietetics,22.0,10.042,child_malnutrition|micronutrient_fortification|infant_young_child_feeding|maternal_nutrition,0,0,null,0.0,10.042,0.1842288935657571,0.08782,true,demand_driven_supply_sparse,critical,true,null
Kamareddy,Telangana,nutrition_dietetics,23.0,10.033999999999999,maternal_nutrition|adult_overnutrition_obesity|infant_young_child_feeding|micronutrient_fortification|child_malnutrition,0,0,null,0.0,10.033999999999999,0.1842288935657571,0.08782,true,demand_driven_supply_sparse,critical,true,null
Pulwama,Jammu & Kashmir,nutrition_dietetics,21.0,10.02,child_malnutrition|adult_overnutrition_obesity|infant_young_child_feeding|micronutrient_fortification,0,0,null,0.0,10.02,0.1842288935657571,0.08782,true,demand_driven_supply_sparse,critical,true,null
Porbandar,Gujarat,pediatrics,23.0,10.013,anaemia|infant_young_child_feeding|child_immunization|child_illness_care|child_malnutrition,0,0,null,0.0,10.013,0.24999843777013556,0.6034,false,demand_supply,critical,true,null
Sepahijala,Tripura,preventive_medicine,20.0,10.008,child_immunization|micronutrient_fortification|clean_cooking_air|cancer_screening|birth_registration|tobacco_use,0,0,null,0.0,10.008,0.17587055926837847,0.32153,false,demand_supply,critical,true,null
Pilibhit,Uttar Pradesh,obstetrics_gynecology,20.0,10.0,skilled_birth_attendance|anaemia|institutional_delivery|postnatal_care|family_planning_unmet|maternal_nutrition|menstrual_hygiene|antenatal_care,0,0,null,0.0,10.0,0.6315124723713293,0.64448,false,demand_supply,critical,true,null
Faridkot,Punjab,preventive_medicine,20.0,10.0,micronutrient_fortification|wash_sanitation|child_immunization|cancer_screening,0,0,null,0.0,10.0,0.17587055926837847,0.32153,false,demand_supply,critical,true,null
Serchhip,Mizoram,preventive_medicine,19.0,9.984,tobacco_use|micronutrient_fortification|child_immunization|cancer_screening,0,0,null,0.0,9.984,0.17587055926837847,0.32153,false,demand_supply,critical,true,null
Chhota Udaipur,Gujarat,nutrition_dietetics,21.0,9.978,micronutrient_fortification|infant_young_child_feeding|child_malnutrition|maternal_nutrition,0,0,null,0.0,9.978,0.1842288935657571,0.08782,true,demand_driven_supply_sparse,critical,true,null
Sambhal,Uttar Pradesh,obstetrics_gynecology,24.0,9.963000000000001,institutional_delivery|maternal_nutrition|family_planning_unmet|anaemia|menstrual_hygiene|skilled_birth_attendance|antenatal_care|postnatal_care,0,0,null,0.0,9.963000000000001,0.6315124723713293,0.64448,false,demand_supply,critical,true,null
Tehri Garhwal,Uttarakhand,pediatrics,22.0,9.958,infant_young_child_feeding|child_malnutrition|anaemia|child_immunization|child_illness_care,0,0,null,0.0,9.958,0.24999843777013556,0.6034,false,demand_supply,critical,true,null
Tuensang,Nagaland,nutrition_dietetics,23.0,9.957,child_malnutrition|infant_young_child_feeding|adult_overnutrition_obesity|maternal_nutrition|micronutrient_fortification,0,0,null,0.0,9.957,0.1842288935657571,0.08782,true,demand_driven_supply_sparse,critical,true,null
Moradabad,Uttar Pradesh,nutrition_dietetics,22.0,9.957,maternal_nutrition|child_malnutrition|infant_young_child_feeding|adult_overnutrition_obesity|micronutrient_fortification,0,0,null,0.0,9.957,0.1842288935657571,0.08782,true,demand_driven_supply_sparse,critical,true,null
Tamenglong,Manipur,obstetrics_gynecology,22.0,9.943999999999999,antenatal_care|institutional_delivery|postnatal_care|anaemia|adolescent_pregnancy|family_planning_unmet|menstrual_hygiene|skilled_birth_attendance,0,0,null,0.0,9.943999999999999,0.6315124723713293,0.64448,false,demand_supply,critical,true,null
Nandurbar,Maharashtra,nutrition_dietetics,19.0,9.942,maternal_nutrition|micronutrient_fortification|child_malnutrition|infant_young_child_feeding,0,0,null,0.0,9.942,0.1842288935657571,0.08782,true,demand_driven_supply_sparse,critical,true,null
Jamtara,Jharkhand,obstetrics_gynecology,23.0,9.942,maternal_nutrition|anaemia|adolescent_pregnancy|family_planning_unmet|antenatal_care|menstrual_hygiene|skilled_birth_attendance|postnatal_care|institutional_delivery,0,0,null,0.0,9.942,0.6315124723713293,0.64448,false,demand_supply,critical,true,null
Gumla,Jharkhand,nutrition_dietetics,22.0,9.94,infant_young_child_feeding|child_malnutrition|maternal_nutrition|micronutrient_fortification|adult_overnutrition_obesity,0,0,null,0.0,9.94,0.1842288935657571,0.08782,true,demand_driven_supply_sparse,critical,true,null
Kodagaon,Chhattisgarh,nutrition_dietetics,22.0,9.937,child_malnutrition|infant_young_child_feeding|maternal_nutrition|adult_overnutrition_obesity|micronutrient_fortification,0,0,null,0.0,9.937,0.1842288935657571,0.08782,true,demand_driven_supply_sparse,critical,true,null
Palamu,Jharkhand,obstetrics_gynecology,26.0,9.927,maternal_nutrition|anaemia|institutional_delivery|menstrual_hygiene|family_planning_unmet|antenatal_care|postnatal_care|skilled_birth_attendance|adolescent_pregnancy,0,0,null,0.0,9.927,0.6315124723713293,0.64448,false,demand_supply,critical,true,null
Sitapur,Uttar Pradesh,nutrition_dietetics,21.0,9.926,infant_young_child_feeding|maternal_nutrition|child_malnutrition|micronutrient_fortification,0,0,null,0.0,9.926,0.1842288935657571,0.08782,true,demand_driven_supply_sparse,critical,true,null
Kokrajhar,Assam,preventive_medicine,31.0,15.61,clean_cooking_air|birth_registration|tobacco_use|micronutrient_fortification|cancer_screening|child_immunization|wash_sanitation,1,1,2.0,0.3642536835361948,9.924,0.17587055926837847,0.32153,false,demand_supply,critical,false,15.61
Mahamaya Nagar,Uttar Pradesh,pediatrics,32.0,13.92,child_immunization|infant_young_child_feeding|child_illness_care|anaemia|child_malnutrition,1,0,3.0,0.28735811751681234,9.919975004165973,0.24999843777013556,0.6034,false,demand_supply,critical,false,13.92
Saraikela-Kharsawan,Jharkhand,nutrition_dietetics,21.0,9.915000000000001,infant_young_child_feeding|child_malnutrition|adult_overnutrition_obesity|micronutrient_fortification|maternal_nutrition,0,0,null,0.0,9.915000000000001,0.1842288935657571,0.08782,true,demand_driven_supply_sparse,critical,true,null
Baloda Bazar,Chhattisgarh,nutrition_dietetics,22.0,9.914,micronutrient_fortification|infant_young_child_feeding|maternal_nutrition|adult_overnutrition_obesity|child_malnutrition,0,0,null,0.0,9.914,0.1842288935657571,0.08782,true,demand_driven_supply_sparse,critical,true,null
Gopalganj,Bihar,nutrition_dietetics,23.0,9.911999999999999,child_malnutrition|micronutrient_fortification|infant_young_child_feeding|maternal_nutrition|adult_overnutrition_obesity,0,0,null,0.0,9.911999999999999,0.1842288935657571,0.08782,true,demand_driven_supply_sparse,critical,true,null
Gomati,Tripura,nutrition_dietetics,23.0,9.911,child_malnutrition|maternal_nutrition|adult_overnutrition_obesity|micronutrient_fortification|infant_young_child_feeding,0,0,null,0.0,9.911,0.1842288935657571,0.08782,true,demand_driven_supply_sparse,critical,true,null
Maldah,West Bengal,preventive_medicine,20.0,9.904,child_immunization|birth_registration|micronutrient_fortification|tobacco_use|wash_sanitation|clean_cooking_air|cancer_screening,0,0,null,0.0,9.904,0.17587055926837847,0.32153,false,demand_supply,critical,true,null
Chikkaballapura,Karnataka,preventive_medicine,21.0,9.904,child_immunization|micronutrient_fortification|cancer_screening|tobacco_use,0,0,null,0.0,9.904,0.17587055926837847,0.32153,false,demand_supply,critical,true,null
Mahamaya Nagar,Uttar Pradesh,obstetrics_gynecology,30.0,11.48,family_planning_unmet|institutional_delivery|skilled_birth_attendance|menstrual_hygiene|antenatal_care|adolescent_pregnancy|anaemia|maternal_nutrition|postnatal_care,1,0,3.0,0.1379355400696864,9.8965,0.6315124723713293,0.64448,false,demand_supply,critical,false,11.48
Kanshiram Nagar,Uttar Pradesh,nutrition_dietetics,22.0,9.893999999999998,adult_overnutrition_obesity|child_malnutrition|micronutrient_fortification|maternal_nutrition|infant_young_child_feeding,0,0,null,0.0,9.893999999999998,0.1842288935657571,0.08782,true,demand_driven_supply_sparse,critical,true,null
Jalor,Rajasthan,preventive_medicine,20.0,9.884,clean_cooking_air|micronutrient_fortification|child_immunization|wash_sanitation|tobacco_use|cancer_screening,0,0,null,0.0,9.884,0.17587055926837847,0.32153,false,demand_supply,critical,true,null
Nagaur,Rajasthan,preventive_medicine,20.0,9.88,cancer_screening|child_immunization|birth_registration|wash_sanitation|micronutrient_fortification|tobacco_use|clean_cooking_air,0,0,null,0.0,9.88,0.17587055926837847,0.32153,false,demand_supply,critical,true,null
Purba Champaran,Bihar,nutrition_dietetics,21.0,9.878,infant_young_child_feeding|child_malnutrition|maternal_nutrition|micronutrient_fortification,0,0,null,0.0,9.878,0.1842288935657571,0.08782,true,demand_driven_supply_sparse,critical,true,null
Komaram Bheem Asifabad,Telangana,preventive_medicine,20.0,9.876999999999999,micronutrient_fortification|birth_registration|tobacco_use|cancer_screening|child_immunization|wash_sanitation,0,0,null,0.0,9.876999999999999,0.17587055926837847,0.32153,false,demand_supply,critical,true,null
Agar Malwa,Madhya Pradesh,preventive_medicine,20.0,9.876,tobacco_use|cancer_screening|child_immunization|wash_sanitation|clean_cooking_air|micronutrient_fortification,0,0,null,0.0,9.876,0.17587055926837847,0.32153,false,demand_supply,critical,true,null
Kishanganj,Bihar,nutrition_dietetics,22.0,9.870000000000001,infant_young_child_feeding|child_malnutrition|maternal_nutrition|micronutrient_fortification,0,0,null,0.0,9.870000000000001,0.1842288935657571,0.08782,true,demand_driven_supply_sparse,critical,true,null
