district_name_norm,state_ut_norm,specialty_canonical,demand_score,pop_weighted_demand,driving_needs,n_facilities,n_public,supply_capacity,coverage,unmet_demand,k_specialty,served_share,is_thin_specialty,score_basis,priority_tier,specialty_absent,unmet_intensity
Bastar,Chhattisgarh,nutrition_dietetics,22.0,10.607,adult_overnutrition_obesity|micronutrient_fortification|infant_young_child_feeding|maternal_nutrition|child_malnutrition,0,0,null,0.0,10.607,0.1842288935657571,0.08782,true,demand_driven_supply_sparse,critical,true,null
Purba Champaran,Bihar,obstetrics_gynecology,33.0,12.19,anaemia|antenatal_care|family_planning_unmet|adolescent_pregnancy|maternal_nutrition|institutional_delivery|menstrual_hygiene|skilled_birth_attendance|postnatal_care,1,0,2.0,0.12990155865463496,10.6065,0.6315124723713293,0.64448,false,demand_supply,critical,false,12.19
Gondiya,Maharashtra,preventive_medicine,21.0,10.602,tobacco_use|cancer_screening|clean_cooking_air|wash_sanitation|child_immunization|micronutrient_fortification,0,0,null,0.0,10.602,0.17587055926837847,0.32153,false,demand_supply,critical,true,null
Araria,Bihar,nutrition_dietetics,22.0,10.597999999999999,child_malnutrition|maternal_nutrition|infant_young_child_feeding|micronutrient_fortification,0,0,null,0.0,10.597999999999999,0.1842288935657571,0.08782,true,demand_driven_supply_sparse,critical,true,null
Kendrapara,Odisha,preventive_medicine,21.0,10.597999999999999,child_immunization|cancer_screening|micronutrient_fortification|clean_cooking_air|wash_sanitation|birth_registration|tobacco_use,0,0,null,0.0,10.597999999999999,0.17587055926837847,0.32153,false,demand_supply,critical,true,null
Surendranagar,Gujarat,pediatrics,38.0,18.592000000000002,child_malnutrition|anaemia|child_immunization|infant_young_child_feeding|child_illness_care,2,1,6.0,0.43029528784789456,10.591950008331947,0.24999843777013556,0.6034,false,demand_supply,critical,false,9.296000000000001
Nalanda,Bihar,nutrition_dietetics,22.0,10.574,child_malnutrition|infant_young_child_feeding|maternal_nutrition|micronutrient_fortification|adult_overnutrition_obesity,0,0,null,0.0,10.574,0.1842288935657571,0.08782,true,demand_driven_supply_sparse,critical,true,null
Buxar,Bihar,pediatrics,31.0,14.574,anaemia|child_malnutrition|child_immunization|child_illness_care|infant_young_child_feeding,1,0,3.0,0.2744630846599443,10.573975004165971,0.24999843777013556,0.6034,false,demand_supply,critical,false,14.574
Dumka,Jharkhand,obstetrics_gynecology,28.0,10.573,skilled_birth_attendance|anaemia|postnatal_care|family_planning_unmet|institutional_delivery|menstrual_hygiene|antenatal_care|adolescent_pregnancy|maternal_nutrition,0,0,null,0.0,10.573,0.6315124723713293,0.64448,false,demand_supply,critical,true,null
Neemuch,Madhya Pradesh,pediatrics,21.0,10.568000000000001,child_immunization|child_malnutrition|infant_young_child_feeding|anaemia,0,0,null,0.0,10.568000000000001,0.24999843777013556,0.6034,false,demand_supply,critical,true,null
